nameUser,touch_area,touch_speed,F_mean,F_max,touch_diagonal,touch_length,Y_stop,touch_duration,Y_start,X_start,F_change_mean,tg,X_stop,direction,using_type
_bss,96.9404296875,0.0,0.03750000149011612,0.05000000074505806,0.0,0.0,42.33332824707031,0.11642866666079499,79.66665649414062,42.33332824707031,0.8588950037956238,1000.0,42.33332824707031,5,4
_bss,193.880859375,1675.7878947817517,0.643750011920929,0.8166666626930237,185.66217041015625,191.49542479898156,94.66665649414062,0.11427187497611158,557.6666259765625,79.0,14.293397903442383,-11.808518305688935,94.66665649414062,1,4
_bss,702.818115234375,175.981949769288,2.944444417953491,5.199999809265137,61.479896545410156,66.13319547804757,105.33332824707031,0.37579533335519955,425.0,97.66665649414062,27.674636840820312,-7.956516460573638,105.33332824707031,1,4
_bss,290.8212890625,1797.2986588167041,0.4404761791229248,0.4833333194255829,156.69715881347656,163.5903486284903,83.33332824707031,0.09102012502262369,554.0,60.33332824707031,10.620362281799316,-6.739130434782608,83.33332824707031,1,4
_bss,533.17236328125,344.2596435879208,0.43437498807907104,0.5333333611488342,84.90059661865234,85.57903143989762,81.33332824707031,0.24858862499240786,414.33331298828125,93.66665649414062,4.290891170501709,6.810813619588334,81.33332824707031,1,4
_bss,254.4686279296875,2141.1394757664093,0.5071428418159485,0.550000011920929,204.34881591796875,211.48534205529603,54.0,0.09877233335282654,494.6666564941406,87.0,11.136722564697266,6.111110802852746,54.0,1,4
_bss,472.5845947265625,201.94594711644928,0.3141025900840759,0.3499999940395355,37.66667175292969,42.21883653578199,69.33332824707031,0.20906008334713988,398.33331298828125,69.33332824707031,3.3483195304870605,1000.0,69.33332824707031,1,4
_bss,642.2303466796875,399.3997873005285,0.25196078419685364,0.3333333432674408,107.69195556640625,112.7903002308229,35.0,0.28239949999260716,551.0,37.33332824707031,2.3607218265533447,46.14295990635443,35.0,1,4
_bss,581.642578125,232.03555074720236,0.23541666567325592,0.28333333134651184,78.4700927734375,88.82166192676081,17.333328247070312,0.3827933333523106,294.6666564941406,65.0,1.4803462028503418,1.3076920614504448,17.333328247070312,1,4
_bss,678.5830078125,310.49185429496254,0.2757575809955597,0.3499999940395355,102.00271606445312,106.06855837339798,32.0,0.34161462500924245,298.6666564941406,97.33332824707031,2.0490925312042236,1.198979607327489,32.0,1,4
_bss,617.9952392578125,666.9184555040997,0.2803921699523926,0.30000001192092896,169.71217346191406,171.94955682830002,76.33332824707031,0.2578269583173096,481.33331298828125,87.66665649414062,2.3271422386169434,14.941182727222545,76.33332824707031,1,4
_bss,48.47021484375,0.0,0.15833333134651184,0.18333333730697632,0.0,0.0,140.0,0.07859470834955573,560.0,140.0,4.665284633636475,1000.0,140.0,5,4
_bss,169.645751953125,1155.0752710438965,0.22380952537059784,0.25,113.38479614257812,113.99818061054584,61.0,0.09869329165667295,357.6666564941406,51.666656494140625,5.0662007331848145,12.107129661418739,61.0,3,4
_EDA,181.7633056640625,0.0,0.6958333253860474,0.6875,0.0,0.0,205.66665649414062,0.06710254168137908,756.6666259765625,205.66665649414062,20.491025924682617,1000.0,205.66665649414062,5,6
_EDA,290.8212890625,1210.5875064648105,0.9036458134651184,1.2916666269302368,170.09442138671875,171.15498019177946,218.3333282470703,0.14138174999970943,644.0,212.66665649414062,18.27204132080078,-29.999973072749352,218.3333282470703,1,6
_EDA,254.4686279296875,2066.9214111972083,0.5773809552192688,0.75,198.49461364746094,201.06908138627892,255.0,0.09727949998341501,661.3333129882812,247.0,15.419487953186035,-24.79166603088379,255.0,1,6
_DAY,121.175537109375,0.0,0.0677083358168602,0.1041666641831398,0.0,0.0,291.6666564941406,0.15829991665668786,573.3333129882812,291.6666564941406,1.316067099571228,1000.0,291.6666564941406,5,1
_DAY,242.35107421875,1333.1847180053703,0.4166666567325592,0.5208333134651184,159.1815948486328,162.74185842674126,334.0,0.1220699999248609,667.3333129882812,302.33331298828125,8.533354759216309,-4.926314998214722,334.0,1,1
_DAY,145.41064453125,0.0,0.078125,0.1041666641831398,0.0,0.0,290.33331298828125,0.15849274990614504,577.0,290.33331298828125,1.3144659996032715,1000.0,290.33331298828125,5,1
_EDA,2471.98095703125,130.34055347408804,0.2558210790157318,0.25,144.0447540283203,147.7442215682767,294.6666564941406,1.1335245833342924,558.0,245.3333282470703,0.4411020576953888,-2.7432437322713215,294.6666564941406,1,4
_EDA,290.8212890625,887.2353496165326,0.2005208283662796,0.1666666716337204,86.21742248535156,87.69127359916874,273.6666564941406,0.09883654166515043,524.3333129882812,250.3333282470703,3.3725719451904297,-3.5571436325386334,273.6666564941406,1,4
_EDA,2035.7490234375,180.20868291196163,0.2488839328289032,0.2708333432674408,164.54551696777344,168.17027735442295,293.0,0.9331974166670989,577.0,241.66665649414062,0.5804416537284851,-3.045454140114893,293.0,1,4
_DAY,181.7633056640625,1152.6174912488013,0.4749999940395355,0.4166666567325592,85.37498474121094,86.53631204252027,43.666656494140625,0.07507808331865817,334.6666564941406,65.0,11.099555015563965,3.874997675419962,43.666656494140625,1,1
_DAY,109.0579833984375,0.0,0.3680555522441864,0.2916666567325592,0.0,0.0,63.0,0.041133541613817215,310.33331298828125,63.0,14.181450843811035,1000.0,63.0,5,1
_DAY,763.4058837890625,330.81871884064844,0.317460298538208,0.3333333432674408,112.50531768798828,115.7434349113058,47.33332824707031,0.3498696667375043,363.0,69.33332824707031,1.9054715633392334,5.0151519775390625,47.33332824707031,1,1
